Zone;Order;Est;LI;R
EU;0;12;9.85;2.15
EU;1;4.64;3.63;1.01
EU;2;3.65;2.61;1.03
PU;0;15;12.93;2.07
PU;1;4.25;3.54;0.71
PU;2;3.45;2.83;0.62
IU;0;14;12.22;1.78
IU;1;3.12;2.63;0.49
IU;2;2.62;2.19;0.43
