IU;PU;EU
0.92;0.41;0.03
1.48;0.49;0.24
0.15;0.05;0.1
2.26;2.68;0.37
0.14;0.07;0.07
19.11;21.29;1.39
0.03;0;0.03
15.03;28.27;26.84
2.05;12.32;24.64
8.08;4.14;5.91
0.07;0.07;0
0.06;0;0
0;0.15;0
0;0.15;0.07
0;0.05;0.03
0;0.04;0
0;0.02;0.04
0;0;0.01
